,account_value,date,daily_return,datadate
125,985992.3624945106,2023-01-10,0.0016134905823559,2021-05-03
126,988723.469716114,2023-01-11,,2021-05-04
127,994812.8913465308,2023-01-12,0.0061588723408834,2021-05-05
128,992598.5365837574,2023-01-13,-0.002225900751825,2021-05-06
129,985855.1223113764,2023-01-17,-0.0067936975764539,2021-05-07
130,965226.9583298092,2023-01-18,-0.0209241332876618,2021-05-10
131,964803.3264665584,2023-01-19,-0.0004388935261233,2021-05-11
132,975593.0236381608,2023-01-20,0.0111833125732658,2021-05-12
133,978476.12530904,2023-01-23,0.0029552298971222,2021-05-13
134,982117.5379900665,2023-01-24,0.0037215140838273,2021-05-14
135,980901.0359125518,2023-01-25,-0.0012386522289422,2021-05-17
136,989265.7179121246,2023-01-26,0.0085275493585252,2021-05-18
137,980740.5517372722,2023-01-27,-0.008617670682903,2021-05-19
138,966428.5363930608,2023-01-30,-0.0145930698173532,2021-05-20
139,981423.463072672,2023-01-31,0.015515815308575,2021-05-21
140,979617.032893076,2023-02-01,-0.0018406225727886,2021-05-24
141,971222.5676354312,2023-02-02,-0.0085691295432599,2021-05-25
142,963429.6095818424,2023-02-03,-0.0080238642647707,2021-05-26
143,963252.4267205144,2023-02-06,-0.0001839084657206,2021-05-27
144,972967.820385828,2023-02-07,0.010086030822046,2021-05-28
145,970934.3491581822,2023-02-08,-0.0020899676073968,2021-06-01
146,965696.9823388004,2023-02-09,-0.0053941513387827,2021-06-02
147,974394.5705593968,2023-02-10,0.0090065397113821,2021-06-03
148,983447.388115778,2023-02-13,0.0092907101803574,2021-06-04
149,979747.2379731084,2023-02-14,-0.0037624281556728,2021-06-07
150,973896.23038949,2023-02-15,-0.0059719561911933,2021-06-08
151,960271.7388695622,2023-02-16,-0.0139896747669709,2021-06-09
152,972651.48070611,2023-02-17,0.012891915210502,2021-06-10
153,957310.3384255314,2023-02-21,-0.0157724967111976,2021-06-11
154,952907.4987095738,2023-02-22,-0.0045991770267507,2021-06-14
155,958192.7791050816,2023-02-23,0.0055464779138216,2021-06-15
156,944457.3252972508,2023-02-24,-0.0143347498617754,2021-06-16
157,944850.8496483708,2023-02-27,0.0004166671596264,2021-06-17
158,934452.1901482488,2023-02-28,-0.0110056095139163,2021-06-18
159,934725.9282330418,2023-03-01,0.0002929396363762,2021-06-21
160,939830.7903183842,2023-03-02,0.0054613464023538,2021-06-22
161,946570.6462029362,2023-03-03,0.0071713503685792,2021-06-23
162,951795.1751126194,2023-03-06,0.0055194284025612,2021-06-24
163,939063.2281578922,2023-03-07,-0.0133767719018125,2021-06-25
164,935141.128147974,2023-03-08,-0.0041766090847918,2021-06-28
165,924862.718981638,2023-03-09,-0.0109912919632699,2021-06-29
166,922347.040459528,2023-03-10,-0.0027200561450676,2021-06-30
167,932220.6757172488,2023-03-13,0.0107049026284096,2021-07-01
168,937098.0968731784,2023-03-14,0.0052320456764991,2021-07-02
169,938831.5991505528,2023-03-15,0.0018498621255964,2021-07-06
170,949760.3189591313,2023-03-16,0.0116407669048066,2021-07-07
171,942263.729042902,2023-03-17,-0.007893138686237,2021-07-08
172,950869.6453617954,2023-03-20,0.0091332352648603,2021-07-09
173,954558.644232645,2023-03-21,0.0038796052527747,2021-07-12
174,942528.4441574956,2023-03-22,-0.0126028926015545,2021-07-13
175,943817.2389916324,2023-03-23,0.0013673803078579,2021-07-14
176,955546.0050019168,2023-03-24,0.0124269461562445,2021-07-15
177,957126.6370858096,2023-03-27,0.0016541663882416,2021-07-16
178,950810.4223259832,2023-03-28,-0.0065991421773171,2021-07-19
179,955052.181046381,2023-03-29,0.0044612034331945,2021-07-20
180,960151.3304184818,2023-03-30,0.0053391316969864,2021-07-21
181,967654.9638756656,2023-03-31,0.0078150529187033,2021-07-22
182,986851.9608734988,2023-04-03,0.0198386798130452,2021-07-23
183,988117.7273224737,2023-04-04,0.0012826305253061,2021-07-26
184,1006839.3666771794,2023-04-05,0.0189467700427117,2021-07-27
185,1012823.9615601444,2023-04-06,0.0059439420835478,2021-07-28
186,1011348.8008259678,2023-04-10,-0.0014564828540434,2021-07-29
187,1011507.54585351,2023-04-11,0.0001569636780234,2021-07-30
188,1011382.2391842748,2023-04-12,-0.0001238811017761,2021-08-02
