date,ensemble
2022-12-14,1023791.5620186108
2022-12-15,1002231.7317948485
2022-12-16,985706.7034816084
2022-12-19,981242.719621976
2022-12-20,990368.2473311644
2022-12-21,1001785.5467472868
2022-12-22,985624.1840348234
2022-12-23,1000256.1699068708
2022-12-27,1001877.865327487
2022-12-28,987966.4447940016
2022-12-29,1004254.9722553547
2022-12-30,1004593.8278197928
2023-01-03,993339.4177129013
2023-01-04,987255.967311595
2023-01-05,978894.4029515332
2023-01-06,996069.9220771476
2023-01-09,993486.8191659916
2023-01-10,999804.1874182576
2023-01-11,1010161.9227596788
2023-01-12,1018215.4935122425
2023-01-13,1021021.2225033236
2023-01-17,1018452.8974556244
2023-01-18,999386.2126669396
2023-01-19,991659.4660270092
2023-01-20,1013009.6031448984
2023-01-23,1020411.6904492195
2023-01-24,1023782.932518323
2023-01-25,1020922.7457244272
2023-01-26,1039654.8327465944
2023-01-27,1050041.55117179
2023-01-30,1036614.4768247444
2023-01-31,1048692.8568048163
2023-02-01,1046234.9973638526
2023-02-02,1045434.9029368182
2023-02-03,1049004.9522799617
2023-02-06,1045164.3996722804
2023-02-07,1064968.9264944715
2023-02-08,1060108.136382209
2023-02-09,1056513.984812093
2023-02-10,1065278.786853139
2023-02-13,1075135.8989663937
2023-02-14,1073869.13261469
2023-02-15,1070343.4761588797
2023-02-16,1055116.9804723407
2023-02-17,1054548.7942337694
2023-02-21,1037386.1645339938
2023-02-22,1035069.6195390752
2023-02-23,1040235.5802897617
2023-02-24,1031835.7598858617
2023-02-27,1030925.8779878552
2023-02-28,1024377.7266907285
2023-03-01,1027640.0538078968
2023-03-02,1031982.2393502094
2023-03-03,1043346.2251145984
2023-03-06,1046936.6964092684
2023-03-07,1029794.4452026836
2023-03-08,1025187.563584695
2023-03-09,1011492.8114708472
2023-03-10,998716.7207077324
2023-03-13,994916.176586013
2023-03-14,1006050.68731483
2023-03-15,996822.7309889862
2023-03-16,1004453.91581108
2023-03-17,992373.4810311327
2023-03-20,1008159.8701505482
2023-03-21,1021243.646574014
2023-03-22,1007777.193939996
2023-03-23,1004097.5494253855
2023-03-24,1011940.1806715748
2023-03-27,1023831.5699730848
2023-03-28,1017544.9538885969
2023-03-29,1019667.8894086088
2023-03-30,1026007.1800975028
2023-03-31,1034470.5881678764
2023-04-03,1062352.064884208
2023-04-04,1053084.2226103735
2023-04-05,1066444.6752623513
2023-04-06,1064594.1164023965
2023-04-10,1071456.1241386023
2023-04-11,1079686.924104205
2023-04-12,1078680.7000389588
2023-04-13,1089141.9043725713
2023-04-14,1078021.6354365705
2023-04-17,1073723.812188661
2023-04-18,1074120.4237285017
2023-04-19,1059234.3277202009
2023-04-20,1058026.3479323743
2023-04-21,1055547.6302409528
2023-04-24,1063508.4979949354
2023-04-25,1056743.6301494
2023-04-26,1043605.9858508466
2023-04-27,1054066.574204957
2023-04-28,1060983.8245616315
2023-05-01,1062442.570788896
2023-05-02,1049526.1883311628
2023-05-03,1041107.9860301374
2023-05-04,1034720.1201320052
2023-05-05,1050848.651868379
2023-05-08,1049921.1339640974
2023-05-09,1047592.3745150922
